Date,colour,chl-a,TP,SS_min,SS,TOC,TDP
20/01/1964,78.5,,,,,,
24/02/1964,87,,,,,,
16/03/1964,55,,,,,,
21/04/1964,53.6,,,,,,
19/05/1964,57.66666667,,,,,,
24/06/1964,47.5,,,,,,
29/07/1964,47.25,,,,,,
26/08/1964,64.8,,,,,,
24/09/1964,40.2,,,,,,
19/10/1964,76,,,,,,
24/11/1964,78.6,,,,,,
25/01/1965,109.25,,,,,,
15/04/1980,72.5,,38.5,,,,
29/04/1980,81.4,3.971428571,52,,,,
13/05/1980,81.33333333,7.283333333,45,,,,
28/05/1980,,12.61428571,32.71428571,,,,
10/06/1980,83,15.3,41.6,,,,
24/06/1980,94.42857143,11.1,23.66666667,,,,
08/07/1980,104.8333333,13.15714286,35.85714286,,,,
22/07/1980,67.85714286,13.56,37.66666667,,,,
05/08/1980,88,26.47142857,32,,,,
19/08/1980,64,21.86666667,102.8,,,,
02/09/1980,161.7142857,27.1,32.71428571,,,,
16/09/1980,67.2,14.62857143,35.85714286,,,,
30/09/1980,58,13.8,33,,,,
14/10/1980,90.5,,70,,,,
23/06/1981,31,6.45,20.5,3.275,,,
28/07/1981,60.33333333,7.7,26.66666667,2.575,,,
01/09/1981,69,11.525,46.66666667,3,,,
29/09/1981,75.75,7.65,21.5,1.75,,,
24/03/1982,133.3333333,,51.75,,,,
20/04/1982,80,1.1,40.75,,,,
04/05/1982,,3.8,,,,,
18/05/1982,,3.4,35.33333333,,,,
01/06/1982,,9.2,41,,,,
29/06/1982,,,37,,,,
04/08/1982,,7.45,23.33333333,,,,
18/08/1982,,10.5,,,,,
29/08/1982,30,6,27,,,,
16/09/1982,27.5,6.225,11.25,,,,
28/09/1982,,4.3,,,,,
18/10/1982,22.5,2.9,14,,,,
14/04/1983,34,1.9,38,,,,
03/05/1983,34,2.6,33,,,,
25/05/1983,23,2.4,33,,,,
14/06/1983,20,6.7,25.4,,,,
05/07/1983,9,7.4,30,,,,
26/07/1983,11,10.8,38.4,,,,
16/08/1983,20,7.8,33.8,,,,
06/09/1983,11,5.4,25.25,,,,
27/09/1983,13,5.3,19.4,,,,
13/03/1984,28,,26.25,1.85,2.6,,14.825
03/05/1984,,12.6,25.65,3.8,5.433333333,,7.933333333
21/05/1984,,7.4,19.2,2.3,3.625,,6.85
06/06/1984,,5.425,27.9,3.55,5.225,,6.45
27/06/1984,,11.525,31.05,3.166666667,6.066666667,,5.5
18/07/1984,,14.2,33,3.525,5.933333333,,4.425
08/08/1984,,15.625,27,3.3,5.525,,5.066666667
29/08/1984,,20.975,33.75,3.275,6.125,,6.275
19/09/1984,,7.25,24.375,3.333333333,4.95,,4.75
10/10/1984,,9.5,22.5,3.566666667,5.233333333,,4.433333333
31/10/1984,,6.4,20.85,3.375,4.633333333,,6.35
03/06/1985,36,8.333333333,33.56666667,4.5,6.2,8.4,6.766666667
24/06/1985,36,10.5,39.36666667,5.1,7.3,7.966666667,8.85
16/07/1985,30.33333333,11.1,36.86666667,3.366666667,5.466666667,6.75,9.433333333
05/08/1985,28.5,16.23333333,29.6,4.966666667,7.9,7.366666667,8.4
26/08/1985,30,21.3,28.2,4.266666667,6.95,7.1,4.2
16/09/1985,39.5,10.9,24.3,3.933333333,5.566666667,6.95,4.8
10/10/1985,40.5,4.9,24.8,4.266666667,5.6,7.866666667,8.2
08/06/1986,35,6.733333333,28.2,4.166666667,5.4,6.6,8.033333333
01/07/1986,29.66666667,8.666666667,32.6,5.266666667,8.65,6.1,9.7
22/07/1986,29.66666667,17.33333333,39.2,5.166666667,8.066666667,8.5,
12/08/1986,26,17.33333333,37.8,4,6.533333333,7.6,
02/09/1986,24.5,15,35.66666667,2.9,5.55,6.333333333,7.6
23/09/1986,20,11,29.26666667,3.333333333,5.3,7.05,7.2
03/06/1987,31,2.3,22,3.2,4.8,12,12.1
24/06/1987,28,13,23.1,3.7,5.9,8.8,10.3
15/07/1987,24.66666667,3.5,28.3,5.133333333,7.666666667,8,7.166666667
05/08/1987,28.5,5.866666667,29.2,5.666666667,8.1,8.933333333,7.2
26/08/1987,39,13.9,17.4,3,4.5,7.2,6.6
16/09/1987,23,12.5,20.6,2.9,4.7,7.4,6.5
08/06/1988,28,11.8,33.8,6.9,9.2,8,8.6
28/06/1988,26,15.7,19.5,2.6,4.8,8,3.8
18/07/1988,29.33333333,11.06666667,40.3,6.266666667,9,9.1,6.133333333
08/08/1988,27,15.2,35.2,4.666666667,8.166666667,8.333333333,7.65
29/08/1988,43.33333333,17.36666667,25,5.7,9,9.366666667,7.3
19/09/1988,40,13.2,23.4,3.2,5.5,8.9,6
10/05/1989,30,5.5,38.4,4.6,5.8,6.6,12.4
05/06/1989,29,13.4,22.2,1.6,4.2,6.9,9.4
27/06/1989,16,9.1,34.8,4.1,7.6,7.3,1.3
18/07/1989,24,8.2,15,5.8,8.8,7.5,9.2
07/08/1989,21,42.7,18,2.3,6.5,7.1,7.2
28/08/1989,22,12.8,30.8,3,6.4,6.7,6.7
19/09/1989,25,8.2,30.2,3.2,5.2,7.3,8.6
14/05/1990,23,7.3,32.5,10,11.4,6.2,8.4
05/06/1990,26,4.8,24.2,3.4,8.4,6.4,6.4
25/06/1990,17,10.8,27.1,2.7,6,6.3,6
16/07/1990,21,15.7,31.8,3.1,8.1,5.6,4.4
06/08/1990,18,23.1,32,3.7,7.6,6.2,5.2
28/08/1990,16,12.5,31.3,4.3,7.3,6.5,5.3
24/09/1990,18,11.5,23.4,3.3,5.5,6.4,5.2
07/05/1991,33,8.6,26.3,4.1,6.3,6,6.4
03/06/1991,18,7.6,21,3.3,5.7,6,5.5
26/06/1991,16,10.2,22.8,2.6,5.5,5.6,5.6
15/07/1991,20,7.9,33.8,2.8,6.4,6.6,7.8
05/08/1991,25,15.1,30.6,1.5,7.7,7.3,7.2
26/08/1991,14,14.6,29.9,1.7,5.1,6.2,6.6
16/09/1991,17,6,33.6,2.5,5.3,7.2,8.6
17/10/1991,22,5.4,19.8,2,4.6,4.5,7.9
12/05/1992,35,5.6,34.2,4.4,7.1,7.3,7.9
01/06/1992,24,11.2,27.1,3,5.8,6.3,4.8
22/06/1992,23,17.5,32.6,3,6.2,9.4,14.1
13/07/1992,19,20.5,35.9,1.4,6.8,7.3,6
04/08/1992,18,16,37.7,4.3,8,6.6,5
24/08/1992,13,21.5,25.1,2.9,5.1,8.7,6
13/09/1992,17,25,26.8,3.4,5.6,6.8,7.3
11/05/1993,30,9.3,17.4,3.7,5.9,7.4,10
02/06/1993,23,8.4,21.1,3.1,5.7,6.3,7
21/06/1993,24,11.5,28.6,2.4,5.5,6.8,6.1
13/07/1993,15,8.2,33.2,5,8.9,7.1,5.5
02/08/1993,43,21.3,34.4,4.4,7.6,7.3,10.8
23/08/1993,18,17.2,31.4,2.3,6.2,7.3,5.6
13/09/1993,18,12.4,25,3.1,6.2,4.5,6.4
18/05/1994,40,5.6,24.4,3.4,5.2,7.2,8.6
06/06/1994,37,5.5,26.3,3.4,5.7,7.2,9.6
27/06/1994,25,17.8,31.3,3.4,6.2,7,9.4
26/07/1994,23,17.7,32.7,3.4,7.4,7.5,7.8
10/08/1994,22,30.6,34.7,4,7.5,7.7,7.8
30/08/1994,20,29.1,36.2,3.2,6.6,7.3,8.8
20/09/1994,27,21.5,27.5,2.7,5.3,7.3,8.4
15/06/1995,29,17.8,18.5,3.5,5.7,6.6,5.5
05/07/1995,30,23.4,26.8,3.2,6,7,6.8
25/07/1995,26,20.5,33,4.1,7.3,6.2,6.1
16/08/1995,24,40.5,40.3,1.6,3.8,6.2,4.3
12/09/1995,21,16.2,28.5,2.3,5.2,6.5,6.4
28/09/1995,25,12.9,29.6,4.4,6.3,6.2,5.5
13/06/1996,22,16.5,27.6,3.9,8.7,6.5,4.6
01/07/1996,20,32.6,30.3,2.7,5.6,6.5,5.5
22/07/1996,19,22.7,34.5,3.2,6.9,6.5,4.3
12/08/1996,18,22.8,33.4,3.8,8.1,7.1,5
02/09/1996,11,16.9,35,3.5,6.7,6.4,4.1
23/09/1996,16,16.3,26.9,1.9,4.8,6.8,4.8
10/06/1997,27,15.4,22.2,3.8,6.5,7.6,3.9
03/07/1997,20,29.5,32.3,3.9,8.2,6.6,4.9
23/07/1997,15,18.2,34.3,4,8.8,6.7,6.1
12/08/1997,18,27.2,32.5,2.5,6.9,8.2,3.9
02/09/1997,16,21.7,29.2,1.7,5.6,7.9,4.9
24/09/1997,18,26.4,26,1.8,4.8,7.1,6.5
03/06/1998,,11.6,23.5,,5.7,,
25/06/1998,,19.2,28.7,,5.6,,
15/07/1998,,25.5,27.9,,6.3,,
06/08/1998,,21,44.3,,7.1,,
26/08/1998,,28.7,41.1,,7.4,,
16/09/1998,,20.6,28.7,,2.5,,
06/06/2000,36,17.2,29,,7.2,9,
27/06/2000,30,19.7,35,,6.7,8.3,
17/07/2000,27,14.4,40,,6.5,7.9,
08/08/2000,28,22.6,37,,8.6,7.7,
29/08/2000,25,40.4,27,,8.8,7,
19/09/2000,25,18.7,28,,5.9,7.1,
06/06/2001,,18,38,,7.2,,
27/06/2001,,27.3,46,,7.4,,
18/07/2001,,19.4,51,,6.6,,
08/08/2001,,29.2,34,,6.2,,
29/08/2001,,13.6,35,,6,,
19/09/2001,,18.7,26,,5.9,,
05/06/2002,,18,36,,6,,
26/06/2002,,24,38,,5,,
17/07/2002,,27,52,,8,,
07/08/2002,,28,33,,5,,
28/08/2002,,38,30,,7,,
18/09/2002,,18,31,,5,,
11/06/2003,,13.15,40,,5.05,7.9,
02/07/2003,,17.6,29,,6.9,7.4,
23/07/2003,,26.5,25,,9.6,8,
13/08/2003,,13.7,30,,6.8,7.9,
03/09/2003,,12.4,37,,6.8,7.7,
23/09/2003,,17.2,37,,7.6,8.1,
25/09/2003,,17.2,37,,7.6,8.1,
09/06/2004,,35,33,,9.8,,
30/06/2004,,53,51,,17.8,,
21/07/2004,,21,37,,10.2,,
11/08/2004,,7.6,27,,6.6,,
01/09/2004,,18,35,,7.6,,
22/09/2004,,19,38,,9.4,,
18/04/2005,52.6,7.1,29,3.9,5.4,,14.2
25/04/2005,53.8,7,27,3.3,5.1,,20.9
04/05/2005,48.4,8.2,28,2.3,4.6,,12.9
09/05/2005,45.3,10,29,3.6,5.3,,13.5
16/05/2005,,11,25,,,,12.8
23/05/2005,39.9,14,28,3.6,6.3,,18.4
30/05/2005,,13,29,,,,17.7
07/06/2005,36.8,16,24,4.1,7.1,,17.9
13/06/2005,,20,32,,,,24.4
21/06/2005,33.3,22,31,2,5.2,,23.4
27/06/2005,,24,18,,,,27.7
04/07/2005,32.1,31,34,2.8,10,,27
11/07/2005,,20,31,,,,26.8
18/07/2005,28.6,25,38,5.2,12,,29.2
25/07/2005,27.1,22,38,5.1,8.9,,28.6
01/08/2005,25.9,28,41,4,8.9,,31.4
09/08/2005,,30,34,,,,30
15/08/2005,24.4,24,32,3.3,10,,26
22/08/2005,,19,26,,,,22
30/08/2005,25.9,27,,4.9,11.4,,37.5
04/09/2005,,28,41,,,,34
12/09/2005,,24,36,,,,
13/09/2005,23.2,,,4.8,10,,35.2
19/09/2005,,24,39,,,,33.8
26/09/2005,28.3,,,6.8,13.2,,27.6
27/09/2005,28.3,20,37,6.8,13.2,,27.6
03/10/2005,,19,35,,,,30.8
10/10/2005,35.9,5.6,30.25,3.8,6.8,,
02/05/2006,54.6,4.7,31,3.6,5.3,,15.6
08/05/2006,56.5,3.8,26,3.8,5.6,,15.9
15/05/2006,53.4,10,26,6.4,8.8,,17.2
22/05/2006,51.1,8.2,27,2.1,3.9,,15
29/05/2006,52.6,11,23,2,3.8,,19.1
06/06/2006,47.6,15,25,2.3,5.3,,20.8
12/06/2006,44.5,,,3.4,7.2,,20
13/06/2006,,22,33,,,,
19/06/2006,,27,19,,,,5
27/06/2006,39.5,32,36,4,10.4,,7.1
03/07/2006,,36,35,,,,
10/07/2006,,36,36,,,,
11/07/2006,34.4,,,5.3,12.7,,35
17/07/2006,,41,40,,,,41
24/07/2006,29,31,38,5.2,12,,33
31/07/2006,,34,34,,,,23
07/08/2006,27.5,47,47,3,10.3,,35.2
14/08/2006,26.7,37,39,,,,32.7
21/08/2006,24.4,46,38,2.6,8,,31.6
29/08/2006,32.1,40,39,4.8,11.6,,35
04/09/2006,25.2,57,18,4.8,13.9,,36.8
11/09/2006,,38,43,,,,28.7
18/09/2006,,30,40,,,,37.6
25/09/2006,,35,42,,,,34.8
03/10/2006,,32,47,,,,35.4
09/10/2006,,26,46,,,,34.4
11/04/2007,,,,4.5,7,8,21
16/04/2007,,8.9,35,,,,16.8
23/04/2007,,7.3,33,3.3,6.7,7.8,14.3
02/05/2007,,8.4,30,,,,16.4
07/05/2007,,12,28,5.2,7.6,7.7,22.6
15/05/2007,,12,40,,,,17.7
22/05/2007,,13,39,5.4,8.2,7.5,23.6
29/05/2007,,14,34,,,,
30/05/2007,,,,,,,21.2
04/06/2007,,17,30,5.07,7.87,7,24.4
11/06/2007,,17,30,3.2,7,7.3,19.5
18/06/2007,,20,30,,10.8,,25.1
25/06/2007,,24,32,6,12,7.2,22.6
02/07/2007,,23.2,34,,10.6,,29
09/07/2007,,22,33,4.6,8.9,7.5,24
16/07/2007,,26,35,,,,24.9
23/07/2007,,22,30,2.8,6.4,8.7,23.5
01/08/2007,,25,32,,7.8,,23.5
06/08/2007,,,,6.2,9.8,8.6,22.1
07/08/2007,,24,33,,,,
13/08/2007,,25,28,,6.4,,19.2
20/08/2007,,22,37,4.6,8.4,8.7,22.8
27/08/2007,,26,31,,7,,19.4
03/09/2007,,19,34,3.8,7.8,8.8,25
10/09/2007,,19,36,,6.2,,20.7
20/09/2007,,15,31,3,5.8,8.2,21.6
24/09/2007,,13,29,,6.2,,22.2
01/10/2007,,10,29,3.8,5.8,8.1,16.6
08/10/2007,,10,28,,5.2,,17.7
16/10/2007,,10,31,4,5.6,8.4,16
17/04/2008,97.1,4.9,42,4.3,6.6,8.3,20.7
21/04/2008,,6.4,46,,8,,22
28/04/2008,84,7.1,66,7.3,9.3,8.2,32.4
05/05/2008,,8.1,39,,8.3,,20.8
13/05/2008,66.6,8.7,43,5.2,8.4,8,22.4
23/05/2008,,11,47,,8.8,,26
26/05/2008,71.6,11,35,6.5,9.8,7.9,19.6
02/06/2008,,11,39,,6.8,,19.6
09/06/2008,51.9,20,29,4,6.8,8.3,5.1
16/06/2008,,17,32,,7,,21.2
23/06/2008,50.7,17,32,5.6,9.2,7.6,24
30/06/2008,,17,30,,5.6,,23.2
07/07/2008,43.3,18,31,2.7,5.3,6.4,23.3
15/07/2008,,22,33,,6.3,,22
21/07/2008,46.1,18,32,3.2,5.8,7.3,24
28/07/2008,,35,39,,7.5,,25
04/08/2008,43.7,23,37,2.7,6.4,7.5,25.2
11/08/2008,,20,32,,7.8,,23.1
18/08/2008,49.1,21,34,3.8,7.3,7.9,14.4
25/08/2008,,20,28,,5,,20.4
01/09/2008,53.4,19,29,1,3.4,8.1,18.8
08/09/2008,,17,29,,5,,13.2
15/09/2008,54.2,9.1,27,2.2,4.4,8,4.4
22/09/2008,,11,23,,4,,15
29/09/2008,53.8,10,25,2.3,3.7,7.8,15.5
06/10/2008,,8.3,32,,6.2,,16.7
13/10/2008,63.1,9.1,29,1,5.4,8.6,16
27/11/2008,,2.2,44,,,,
27/04/2009,69.3,8.1,31,4.7,7.1,8,18.1
04/05/2009,,9.2,31,,6.6,,19.1
11/05/2009,63.9,6.6,34,3.6,6,7.6,18.9
15/05/2009,,13,15,,4.5,,6.9
25/05/2009,61.5,14,28,3.1,5.6,7.3,18.4
08/06/2009,,16,35,,6.4,,24.8
15/06/2009,,17,30,,6.5,,17.3
22/06/2009,44.5,28,35,2.8,6.8,7.4,19.8
29/06/2009,41,22,25,2.4,5.6,7.6,18.5
06/07/2009,,16,30,,,,
13/07/2009,40.6,16,31,3.5,7,7.1,22
20/07/2009,,23,28,,5.8,,21
27/07/2009,,,,,5.8,,23
03/08/2009,41.8,21,31,2.2,5.6,6.9,21
10/08/2009,,28,33,,5.5,,22.3
17/08/2009,44.1,19,31,3.8,6.8,7.7,24.8
24/08/2009,,18,33,,7,,22.1
27/08/2009,,23,36,,,,
31/08/2009,43.7,15,29,3.8,6.3,7.7,22
07/09/2009,,15,26,,5.1,,20.1
14/09/2009,51.1,13,27,3.2,5.4,7.7,17
21/09/2009,,12,25,,5.2,,14.9
28/09/2009,53,11,25,2.8,4.8,7.6,16.8
05/10/2009,,11,25,,4,,13.5
12/10/2009,52.2,9.1,23,2.8,4.2,7.5,14.9
05/03/2010,,8.2,31,,,,
26/04/2010,,4.7,35,,7.3,,19.5
03/05/2010,76.6,8.2,31,3.7,6,8.3,18.7
10/05/2010,,7.3,26,,4.8,,14.2
18/05/2010,69.3,7.2,26,2.2,4.2,7.9,13.4
25/05/2010,,7.1,24,,5,,13.1
31/05/2010,61.5,9.3,21,2.6,4.6,8.2,13.5
07/06/2010,,12,22,,5.2,,15.2
14/06/2010,55,12,23,2.3,4.5,7.9,16
21/06/2010,,14,25,,5.2,,15.6
28/06/2010,50.7,24,37,2.9,6.3,7.7,19
05/07/2010,,22,21,,11.2,,20.3
12/07/2010,47.6,22,35,2.6,5.2,7.9,19.2
19/07/2010,,16,44,,3.8,,21
26/07/2010,46.4,17,35,3.2,5.8,7.4,18.8
03/08/2010,,3.6,19,,5.6,,16.9
09/08/2010,44.1,12,30,1.4,3.6,7.9,17
16/08/2010,,13,27,,5.6,,16
31/08/2010,55.7,12,26,3,5.5,8.1,17.1
06/09/2010,52.2,11,22,2.6,5,8,15.7
14/09/2010,51.1,11,24,1.8,4.2,7.7,17.2
20/09/2010,,11,19,,2.8,,14.9
27/09/2010,59.2,6.9,24,2.9,4.3,8.3,12.4
04/10/2010,,5.4,21,,3.8,,15.2
11/10/2010,64.2,5,24,2,4.8,8.6,11.9
26/04/2011,,12,31,,4.9,,16
03/05/2011,74.3,13,27,3.6,5.4,8.7,15.6
09/05/2011,,8.2,27,,4.8,,12.8
18/05/2011,63.5,10,22,3.1,5.1,8.4,15.9
23/05/2011,,11,24,,4.1,,14.6
30/05/2011,61.1,15,25,1.6,6,8,22.2
06/06/2011,,13,27,,5.8,,15.9
14/06/2011,57.3,17,28,3.6,6.2,8.5,21.6
20/06/2011,,14,23,,16.8,,18.2
27/06/2011,54.6,14,26,2.2,4.8,9.04,17
04/07/2011,,21,27,,5,,16.5
12/07/2011,55,21,34,3.6,6,8.34,19.8
18/07/2011,,20,27,,4.2,,18
25/07/2011,52.6,21,30,2.8,5.8,7.9,19.7
01/08/2011,,16,25,,4.4,,15.2
08/08/2011,53,6.1,26,2.3,3.7,8.3,12.2
15/08/2011,55,7.3,26,0.8,4,8.2,14.3
22/08/2011,,12,22,,3.9,,9.2
29/08/2011,53.8,11,23,2.7,4.7,8,14.5
05/09/2011,,13,24,,3.2,,14.6
12/09/2011,72,11,23,3.9,5.6,9,18.1
19/09/2011,81.3,8.1,29,3,5.2,10,14.1
26/09/2011,,7.1,32,,5.2,,17.6
03/10/2011,98.7,4.8,32,3.7,5,11.9,12.9
11/10/2011,,4.4,27,,4.2,,15.8
17/10/2011,93.7,5.7,28,2.3,4.3,11.3,13.4
16/04/2012,,7.1,28,,4.4,,12
23/04/2012,81.3,7,25,3.2,4.4,9.1,13.7
30/04/2012,,7.1,18,,5,,12.8
07/05/2012,77,6.9,29,3.3,5.5,8.9,13.2
14/05/2012,,9.3,27,,8,,21.2
21/05/2012,73.5,8.7,35,2.6,4.8,8.7,13.8
29/05/2012,,8.2,32,,4.2,,14.4
04/06/2012,65.4,11,27,2.4,4.4,8.7,16
11/06/2012,,28,25,,4.5,,12
18/06/2012,58.1,16,22,3.8,5.2,8.5,13.2
25/06/2012,,18,22,,5.2,,15
02/07/2012,56.5,18,26,3.2,5.9,8.2,8.2
09/07/2012,,26,27,,4.6,,19.4
16/07/2012,53.8,25,26,2.4,6,8.3,23.7
23/07/2012,,16,32,,7.2,,20.4
30/07/2012,55,12,31,3.8,6.3,8.5,22.4
06/08/2012,,14,29,,5.5,,16.4
13/08/2012,57.3,14,26,2.2,5.2,8.5,12.2
20/08/2012,,15,36,,4.2,,18.1
27/08/2012,54.2,12,27,1.8,4.2,8.2,17
03/09/2012,,15,22,,4.4,,15.1
10/09/2012,51.9,12,21,2,4.2,8,13.7
17/09/2012,,11,19,,5,,12.7
24/09/2012,58.1,8.5,25,6,7.6,7.9,15
01/10/2012,,6.4,18,,6.2,,4.8
08/10/2012,64.6,6.4,23,2.8,4.4,8.5,14.4
07/05/2013,80.1,9.4,26.85,4.3,7.3,8.7,
13/05/2013,74.3,9.3,16.85,2.8,5.2,8.8,
27/05/2013,75.5,10,19.65,5,8,8.8,
10/06/2013,82.8,17,22,3,6,9.6,
24/06/2013,63.1,17,26.25,3.2,6.8,9.2,
08/07/2013,63.5,16,24.8,3,5.8,9.2,
22/07/2013,54.2,27,24.5,1.2,6,8.8,
05/08/2013,52.6,30,25.5,2.2,5.8,9.1,
19/08/2013,52.6,11,25.35,1.4,5.4,8.6,
02/09/2013,48.4,13,29.05,2,4.9,8.8,
20/09/2013,46.4,9.3,20.85,1.7,3.7,8.1,
30/09/2013,43.7,8.4,17.35,1.8,3,8.4,
14/10/2013,45.7,6.4,19.9,1.8,3.4,7.7,
29/04/2014,68.5,6.2,23.2,4.8,6.6,7.6,
13/05/2014,64.6,11,22.35,4.4,6.2,7.8,
27/05/2014,55,8.6,15.8,3.2,5,7.7,
10/06/2014,47.2,17,19.65,2.6,5.2,7.7,
24/06/2014,41.8,17,25.8,3,6,7.6,
08/07/2014,40.6,14,21.8,2.4,5.4,7.9,
24/07/2014,37.2,13,25,2.3,4.7,7.9,
05/08/2014,36.4,12,19,1,3.7,7.6,
19/08/2014,35.2,16,23.7,2,4.4,7.7,
02/09/2014,34.8,14,16.7,1.8,4.3,7.6,
16/09/2014,33.3,11,14.8,2,3.8,7.3,
30/09/2014,34.4,11,18.2,4,4,7.2,
14/10/2014,,6.6,20.8,2.6,4,8.2,
29/04/2015,58,6,40,,7.1,8.9,
13/05/2015,,4.6,23,,5.4,,
27/05/2015,54,11,23,,5.7,8.3,
09/06/2015,,14,20,,6,,
24/06/2015,47,18,20,,5.9,9.1,
06/07/2015,,17,25,,6.4,,
22/07/2015,44,23,22,,6.3,7.9,
05/08/2015,,28,23,,4.1,,
19/08/2015,43,34,26,,8,9.5,
02/09/2015,,15,29,,6.2,,
17/09/2015,58,6.1,22,,4,9.5,
30/09/2015,,5.2,30,,4.8,,
14/10/2015,71,3.2,28,,3.4,11,
25/04/2016,71,3.9,28,4.3,5.2,5,21
09/05/2016,,6.4,27.5,5.1,7.1,,13
23/05/2016,62,5.6,21,3.3,6.4,9,15
06/06/2016,,6.7,20.5,1.5,4.6,,15
19/06/2016,53,6.7,19,3.3,4.9,8.8,14
04/07/2016,48,12,16,5.7,9.7,8.4,11
18/07/2016,47,12,21.5,2.9,5.9,8.7,22
01/08/2016,,14,16.5,3.2,5.7,,13
15/08/2016,50,16,18,1.5,7.4,5.9,11
29/08/2016,,7.8,25.5,1.5,7.3,,22
12/09/2016,,12,16.85,2.2,5.2,,9.7
26/09/2016,,,10.35,1.5,2.5,,5.7
10/10/2016,,6.3,12.3,2.2,4.2,,7.6
26/04/2017,62,11,17,3.1,6.1,7.6,7
09/05/2017,,11,20,2.2,4.4,,8.4
22/05/2017,48,18,31,1.8,5.8,7.7,8.4
05/06/2017,,13,16,3.2,5.9,,3.9
19/06/2017,43,9.9,13,1.6,7.4,8.4,12
03/07/2017,,9.8,15,1.5,6.2,,9.2
17/07/2017,39,11,18,2.9,6,8.1,4.7
31/07/2017,,21,21,2.8,5.1,,4
21/08/2017,35,19,17,2.8,5.6,8.1,7.7
28/08/2017,,12,24,2.8,5.7,,6.5
11/09/2017,35,12,20,2.5,2.8,7.9,5.3
25/09/2017,,11,18,1.5,3.4,,5.1
09/10/2017,52,6.7,23,2.1,4,7.8,17
25/04/2018,71,5.5,24,3.6,5.7,8.8,9.9
07/05/2018,,4.8,22,2.3,4.3,,7.5
23/05/2018,54,11,15,1.6,4,8.6,11
04/06/2018,,8.4,15,2.4,5.7,,8.9
18/06/2018,44,13,19,2.6,5.2,8.1,5.4
02/07/2018,,11,20,3.4,7.1,,4.7
16/07/2018,37,7.7,21,3.7,8.8,8.9,9.3
31/07/2018,,13,20,3.1,6.5,,7.4
13/08/2018,31,11,20,3.7,6.3,8.1,7.9
27/08/2018,,10,23,1.5,4.7,,5.9
10/09/2018,26,10,14,2.8,5.3,8.1,7
25/09/2018,,13,21,2.1,5.5,,4.9
08/10/2018,26,16,14,3.6,5.3,8.2,10
24/04/2019,59,4.5,22,1.5,3.8,8.2,16
06/05/2019,,5.4,16,3.1,4.3,,11
20/05/2019,48,5.5,24,1.8,4,7.9,19
03/06/2019,,13,,2.7,7,,
17/06/2019,40,16,26,1.5,4.9,8.3,16
01/07/2019,,14,30,1.9,5.7,,22
15/07/2019,44,18,26,4.3,6,8.6,14
29/07/2019,,31,27,1.5,5.4,,11
12/08/2019,36,22,29,3.6,8,8.4,20
26/08/2019,,24,20,2.4,7.8,,10
09/09/2019,54,14,34,3.7,23,9.9,20
23/09/2019,,9.6,,1.8,,,
07/10/2019,60,7.3,26,1.5,2,9.6,18
